gamma,reward_ratio,method,k,budget,n,auc,final_success,solved,mean_capped_first90,shortest_length,terminal_reward,optimal_discounted_return,zero_above_optimal_return
0.99,2,history_replay,4,100000,12,0.9,1.0,12,10916.666666666666,37,0.74,0.21175899940625814,False
0.99,2,history_replay,4,200000,12,0.9499999999999997,1.0,12,10916.666666666666,37,0.74,0.21175899940625814,False
0.99,2,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,2.66,-0.02875952592339781,True
0.99,2,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,2.66,-0.02875952592339781,True
0.99,2,history_replay,12,200000,12,0.04041666666666667,1.0,12,195250.0,133,2.66,-0.02875952592339781,True
0.99,2,hand_replay,4,50000,12,0.8208333333333334,1.0,12,9666.666666666666,37,0.74,0.21175899940625814,False
0.99,2,hand_replay,4,100000,12,0.9104166666666665,1.0,12,9666.666666666666,37,0.74,0.21175899940625814,False
0.99,2,hand_replay,4,200000,12,0.9552083333333333,1.0,12,9666.666666666666,37,0.74,0.21175899940625814,False
0.99,2,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,2.66,-0.02875952592339781,True
0.99,2,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,2.66,-0.02875952592339781,True
0.99,2,hand_replay,12,200000,12,0.4033333333333333,1.0,12,120083.33333333333,133,2.66,-0.02875952592339781,True
0.99,2,immediate_skill,4,50000,12,0.9483333333333331,1.0,12,3166.6666666666665,37,0.74,0.21175899940625814,False
0.99,2,immediate_skill,4,100000,12,0.9741666666666666,1.0,12,3166.6666666666665,37,0.74,0.21175899940625814,False
0.99,2,immediate_skill,4,200000,12,0.9870833333333335,1.0,12,3166.6666666666665,37,0.74,0.21175899940625814,False
0.99,2,immediate_skill,12,50000,12,0.8733333333333334,1.0,12,7333.333333333333,133,2.66,-0.02875952592339781,True
0.99,2,immediate_skill,12,100000,12,0.9366666666666666,1.0,12,7333.333333333333,133,2.66,-0.02875952592339781,True
0.99,2,immediate_skill,12,200000,12,0.9683333333333334,1.0,12,7333.333333333333,133,2.66,-0.02875952592339781,True
0.99,8,history_replay,4,50000,12,0.8041666666666668,1.0,12,10666.666666666666,37,2.96,1.7577963434763113,False
0.99,8,history_replay,4,100000,12,0.9020833333333335,1.0,12,10666.666666666666,37,2.96,1.7577963434763113,False
0.99,8,history_replay,4,200000,12,0.9510416666666667,1.0,12,10666.666666666666,37,2.96,1.7577963434763113,False
0.99,8,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,10.64,2.088863147063291,False
0.99,8,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,10.64,2.088863147063291,False
0.99,8,history_replay,12,200000,12,0.051145833333333335,0.9583333333333334,11,193000.0,133,10.64,2.088863147063291,False
0.99,8,hand_replay,4,50000,12,0.8308333333333334,1.0,12,9083.333333333334,37,2.96,1.7577963434763113,False
0.99,8,hand_replay,4,100000,12,0.9154166666666668,1.0,12,9083.333333333334,37,2.96,1.7577963434763113,False
0.99,8,hand_replay,4,200000,12,0.9577083333333333,1.0,12,9083.333333333334,37,2.96,1.7577963434763113,False
0.99,8,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,10.64,2.088863147063291,False
0.99,8,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,10.64,2.088863147063291,False
0.99,8,hand_replay,12,200000,12,0.41854166666666665,1.0,12,117250.0,133,10.64,2.088863147063291,False
0.99,8,immediate_skill,4,50000,12,0.9483333333333331,1.0,12,3166.6666666666665,37,2.96,1.7577963434763113,False
0.99,8,immediate_skill,4,100000,12,0.9741666666666666,1.0,12,3166.6666666666665,37,2.96,1.7577963434763113,False
0.99,8,immediate_skill,4,200000,12,0.9870833333333335,1.0,12,3166.6666666666665,37,2.96,1.7577963434763113,False
0.99,8,immediate_skill,12,50000,12,0.8733333333333334,1.0,12,7333.333333333333,133,10.64,2.088863147063291,False
0.99,8,immediate_skill,12,100000,12,0.9366666666666666,1.0,12,7333.333333333333,133,10.64,2.088863147063291,False
0.99,8,immediate_skill,12,200000,12,0.9683333333333334,1.0,12,7333.333333333333,133,10.64,2.088863147063291,False
0.995,0.5,history_replay,4,50000,12,0.785,1.0,12,11500.0,37,0.185,-0.1757584294085825,True
