condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
noisy,2,117,16,40,0.9998765338529139,True
noisy,2,118,12,40,0.9999975192091004,True
noisy,2,119,12,40,0.9999963157958314,True
noisy,2,120,20,40,0.9992380488291634,True
noisy,2,121,24,40,0.9886430653033572,True
noisy,2,122,16,40,0.999904514903713,True
noisy,2,123,24,40,0.9886430653033572,True
noisy,2,124,8,40,0.9999998153011695,True
noisy,2,125,16,40,0.9999045149037131,True
noisy,2,126,12,40,0.9999975192091003,True
noisy,2,127,12,40,0.9999963157958316,True
noisy,2,128,16,40,0.9999045149037131,True
noisy,2,129,12,40,0.9999975192091004,True
noisy,2,130,20,40,0.9992380488291633,True
noisy,2,131,16,40,0.9999045149037131,True
noisy,4,100,28,80,0.9999999911895591,True
noisy,4,101,36,80,0.9999983970786865,True
noisy,4,102,24,80,0.9999999998700279,True
noisy,4,103,28,80,0.9999999879407218,True
noisy,4,104,44,80,0.9999210892065276,True
noisy,4,105,36,80,0.9999974268576892,True
noisy,4,106,44,80,0.9998842385820377,True
noisy,4,107,52,80,0.9946569948885264,True
noisy,4,108,24,80,0.9999999996666736,True
noisy,4,109,32,80,0.9999998940182544,True
noisy,4,110,28,80,0.9999999984925972,True
noisy,4,111,24,80,0.9999999998700276,True
noisy,4,112,28,80,0.9999999950795622,True
noisy,4,113,36,80,0.9999992100558017,True
noisy,4,114,32,80,0.999999868952675,True
noisy,4,115,28,80,0.9999999978180937,True
noisy,4,116,28,80,0.9999999879407222,True
noisy,4,117,40,80,0.9999849401575527,True
noisy,4,118,40,80,0.9999876196017401,True
noisy,4,119,36,80,0.9999992248232525,True
noisy,4,120,44,80,0.9999210892065276,True
noisy,4,121,36,80,0.9999985343032964,True
noisy,4,122,28,80,0.9999999892592044,True
noisy,4,123,44,80,0.9998736895869814,True
noisy,4,124,24,80,0.9999999991154649,True
noisy,4,125,36,80,0.9999987108186839,True
noisy,4,126,40,80,0.9999876196017401,True
noisy,4,127,32,80,0.9999999328024853,True
noisy,4,128,36,80,0.9999993460008847,True
noisy,4,129,36,80,0.9999993404673064,True
noisy,4,130,36,80,0.9999989274808502,True
noisy,4,131,36,80,0.9999987108186839,True
noisy,6,100,44,120,0.9999999999853617,True
noisy,6,101,56,120,0.999999955257734,True
noisy,6,102,48,120,0.9999999999162829,True
noisy,6,103,44,120,0.9999999999909956,True
noisy,6,104,60,120,0.9999998999582057,True
noisy,6,105,56,120,0.9999999440488272,True
noisy,6,106,68,120,0.9999897416422422,True
noisy,6,107,68,120,0.9999896201251719,True
noisy,6,108,40,120,0.999999999999735,True
noisy,6,109,44,120,0.9999999999950641,True
noisy,6,110,44,120,0.9999999999976703,True
noisy,6,111,48,120,0.9999999999602501,True
noisy,6,112,44,120,0.9999999999914442,True
noisy,6,113,48,120,0.9999999999497714,True
noisy,6,114,44,120,0.9999999999858833,True
noisy,6,115,44,120,0.9999999999888319,True
noisy,6,116,44,120,0.9999999999909956,True
noisy,6,117,52,120,0.9999999980422357,True
noisy,6,118,56,120,0.9999999706557597,True
noisy,6,119,56,120,0.9999999886113816,True
noisy,6,120,60,120,0.9999999408478738,True
noisy,6,121,48,120,0.9999999997926422,True
noisy,6,122,48,120,0.9999999998043594,True
noisy,6,123,60,120,0.9999998962787238,True
noisy,6,124,48,120,0.9999999996591438,True
noisy,6,125,48,120,0.9999999999144746,True
noisy,6,126,60,120,0.9999999143664777,True
noisy,6,127,56,120,0.9999999817265582,True
noisy,6,128,48,120,0.9999999999604066,True
noisy,6,129,52,120,0.9999999995234334,True
noisy,6,130,56,120,0.9999999746044606,True
noisy,6,131,64,120,0.9999979296689437,True
noisy,8,100,60,160,0.9999999999999822,True
noisy,8,101,76,160,0.9999999994155385,True
noisy,8,102,72,160,0.9999999999750699,True
noisy,8,103,52,160,1.0,True
noisy,8,104,72,160,0.9999999999800454,True
noisy,8,105,76,160,0.9999999995913783,True
noisy,8,106,88,160,0.9999998605364373,True
noisy,8,107,88,160,0.9999998713552564,True
noisy,8,108,60,160,0.999999999999996,True
noisy,8,109,56,160,0.9999999999999999,True
noisy,8,110,56,160,1.0,True
noisy,8,111,64,160,0.9999999999998821,True
noisy,8,112,60,160,0.9999999999999957,True
noisy,8,113,60,160,0.9999999999999947,True
noisy,8,114,64,160,0.9999999999997532,True
noisy,8,115,68,160,0.9999999999979553,True
noisy,8,116,64,160,0.9999999999998355,True
noisy,8,117,72,160,0.9999999999520266,True
noisy,8,118,72,160,0.9999999999621884,True
noisy,8,119,72,160,0.9999999999855752,True
noisy,8,120,76,160,0.9999999999243341,True
noisy,8,121,64,160,0.9999999999997397,True
noisy,8,122,80,160,0.9999999960087164,True
noisy,8,123,72,160,0.9999999999789412,True
noisy,8,124,60,160,0.9999999999999604,True
noisy,8,125,72,160,0.999999999986245,True
noisy,8,126,72,160,0.9999999999864535,True
noisy,8,127,80,160,0.9999999979004697,True
noisy,8,128,64,160,0.999999999999971,True
noisy,8,129,72,160,0.9999999999829575,True
noisy,8,130,68,160,0.9999999999966831,True
noisy,8,131,88,160,0.9999996987002897,True
noisy,12,100,84,240,1.0,True
noisy,12,101,124,240,0.9999999999899856,True
noisy,12,102,120,240,0.99999999999964,True
noisy,12,103,76,240,1.0,True
noisy,12,104,104,240,1.0,True
noisy,12,105,104,240,1.0,True
noisy,12,106,116,240,0.999999999999975,True
noisy,12,107,124,240,0.9999999999963602,True
noisy,12,108,84,240,1.0,True
noisy,12,109,92,240,1.0,True
noisy,12,110,100,240,1.0,True
noisy,12,111,100,240,1.0,True
noisy,12,112,84,240,1.0,True
noisy,12,113,92,240,1.0,True
noisy,12,114,100,240,1.0,True
noisy,12,115,104,240,1.0,True
noisy,12,116,108,240,1.0,True
noisy,12,117,108,240,0.9999999999999999,True
noisy,12,118,116,240,0.9999999999999449,True
