condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
noisy,8,215,76,160,0.999999999515242,True
noisy,8,216,56,160,1.0,True
noisy,8,217,68,160,0.9999999999951262,True
noisy,8,218,76,160,0.9999999998163304,True
noisy,8,219,64,160,0.9999999999997513,True
noisy,8,220,56,160,1.0,True
noisy,8,221,60,160,0.99999999999999,True
noisy,8,222,80,160,0.9999999964317605,True
noisy,8,223,52,160,1.0,True
noisy,8,224,68,160,0.9999999999980979,True
noisy,8,225,72,160,0.9999999999843499,True
noisy,8,226,60,160,0.999999999999992,True
noisy,8,227,72,160,0.9999999999953597,True
noisy,8,228,56,160,1.0,True
noisy,8,229,84,160,0.9999999713707636,True
noisy,8,230,48,160,1.0,True
noisy,8,231,76,160,0.9999999998474581,True
noisy,16,200,132,320,1.0,True
noisy,16,201,144,320,1.0,True
noisy,16,202,144,320,1.0,True
noisy,16,203,144,320,1.0,True
noisy,16,204,144,320,1.0,True
noisy,16,205,128,320,1.0,True
noisy,16,206,120,320,1.0,True
noisy,16,207,124,320,1.0,True
noisy,16,208,108,320,1.0,True
noisy,16,209,148,320,1.0,True
noisy,16,210,132,320,1.0,True
noisy,16,211,124,320,1.0,True
noisy,16,212,124,320,1.0,True
noisy,16,213,156,320,1.0,True
noisy,16,214,116,320,1.0,True
noisy,16,215,148,320,1.0,True
noisy,16,216,120,320,1.0,True
noisy,16,217,136,320,1.0,True
noisy,16,218,132,320,1.0,True
noisy,16,219,148,320,1.0,True
noisy,16,220,148,320,1.0,True
noisy,16,221,132,320,1.0,True
noisy,16,222,148,320,1.0,True
noisy,16,223,120,320,1.0,True
noisy,16,224,132,320,1.0,True
noisy,16,225,132,320,1.0,True
noisy,16,226,136,320,1.0,True
noisy,16,227,140,320,1.0,True
noisy,16,228,132,320,1.0,True
noisy,16,229,160,320,1.0,True
noisy,16,230,120,320,1.0,True
noisy,16,231,136,320,1.0,True
