condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
noisy,learned_qrm_e0.005,8,12,8833.333333333334,7166.666666666667,10500.0,8500.0,12,12,9000.0,0.7784170175061665,0.9425382628479166,11,7.475789583333333
noisy,learned_qrm_e0.02,4,12,6208.333333333333,5083.333333333333,7375.0,5500.0,12,12,6458.333333333333,0.84667255293475,0.9954866300391667,12,3.8625270833333336
noisy,learned_qrm_e0.02,8,12,9833.333333333334,8458.333333333334,11208.333333333334,9750.0,12,12,10000.0,0.7694058104836666,0.9900350492500832,11,7.412379166666667
noisy,learned_qrm_e0.05,4,12,6250.0,5000.0,7583.333333333333,6000.0,12,12,6458.333333333333,0.8493367735381666,0.9980229795476666,12,3.861977083333333
noisy,learned_qrm_e0.05,8,12,9291.666666666666,7583.333333333333,11416.666666666666,8500.0,12,12,9541.666666666666,0.7756284797503333,0.9716803756130831,11,7.407302083333334
noisy,count_replay_e0,4,12,14083.333333333334,6041.666666666667,23208.333333333332,4000.0,9,9,14208.333333333334,0.7308255413400834,0.8509291274284833,7,9.0
noisy,count_replay_e0,8,12,26833.333333333332,18000.0,34958.333333333336,40000.0,5,5,26916.666666666668,0.42361948765355334,0.5142753923598544,3,9.0
noisy,count_replay_e0.005,4,12,4500.0,3333.3333333333335,6208.333333333333,4000.0,12,12,4500.0,0.8800330119206666,0.9396781518395834,9,9.0
noisy,count_replay_e0.005,8,12,11291.666666666666,8000.0,15250.0,9250.0,12,12,11750.0,0.7375731467460832,0.98008533167225,12,9.0
noisy,count_replay_e0.02,4,12,3750.0,3166.6666666666665,4333.333333333333,3500.0,12,12,3958.3333333333335,0.8700266130213333,0.8739101174930001,8,9.0
noisy,count_replay_e0.02,8,12,9416.666666666666,7458.333333333333,11458.333333333334,9250.0,12,12,9708.333333333334,0.7702873343548333,0.9165786712084166,9,9.0
noisy,count_replay_e0.05,4,12,3750.0,3000.0,4500.0,4000.0,12,12,3958.3333333333335,0.8863106860021666,0.9644399387820832,11,9.0
noisy,count_replay_e0.05,8,12,7958.333333333333,6875.0,9083.333333333334,7500.0,12,12,8041.666666666667,0.7932617328660833,0.9412838811346668,10,9.0
noisy,goal_reuse_e0,4,12,4125.0,3208.3333333333335,5041.666666666667,4250.0,12,12,4458.333333333333,0.8941069605761666,0.9922204435525,12,9.0
noisy,goal_reuse_e0,8,12,5000.0,4375.0,5500.0,5250.0,12,12,5000.0,0.8761951411876666,0.9992184275911665,12,9.0
noisy,goal_reuse_e0.005,4,12,4000.0,3458.3333333333335,4500.0,4250.0,12,12,4375.0,0.9061434319497499,0.9929421894773333,12,9.0
noisy,goal_reuse_e0.005,8,12,5208.333333333333,4583.333333333333,5833.333333333333,5000.0,12,12,5208.333333333333,0.88202951831575,0.9949213423794999,12,9.0
noisy,goal_reuse_e0.02,4,12,4375.0,3708.3333333333335,5041.666666666667,4250.0,12,12,4500.0,0.8932704862006667,0.9986334319665834,12,9.0
noisy,goal_reuse_e0.02,8,12,5375.0,4541.666666666667,6291.666666666667,5250.0,12,12,5791.666666666667,0.8665303089884998,0.9999216339989999,12,9.0
noisy,goal_reuse_e0.05,4,12,3791.6666666666665,3166.6666666666665,4375.0,4000.0,12,12,4083.3333333333335,0.9033673722325832,0.9991800096582498,12,9.0
noisy,goal_reuse_e0.05,8,12,5041.666666666667,4416.666666666667,5708.333333333333,5000.0,12,12,5208.333333333333,0.8792406220253333,0.9984975543259168,12,9.0
noisy,progressive_h0.05,4,12,11208.333333333334,9123.958333333334,13416.666666666666,10750.0,12,12,11208.333333333334,0.7383977547328332,0.9828215582181666,12,1.0
noisy,progressive_h0.05,8,12,22458.333333333332,19041.666666666668,26583.333333333332,21750.0,11,11,22750.0,0.4839611234336249,0.9499118990819166,11,1.0
noisy,progressive_h0.2,4,12,11208.333333333334,9375.0,13125.0,11500.0,12,12,11208.333333333334,0.7485518270404999,0.98991161034875,12,1.0
noisy,progressive_h0.2,8,12,22166.666666666668,18666.666666666668,26291.666666666668,20000.0,11,11,22458.333333333332,0.4842258948269417,0.955392087461,11,1.0
noisy,progressive_goal_h0.05,4,12,3875.0,3333.3333333333335,4333.333333333333,4000.0,12,12,4041.6666666666665,0.9026227042699166,0.9930636538529166,12,9.0
noisy,progressive_goal_h0.05,8,12,4916.666666666667,4375.0,5541.666666666667,4500.0,12,12,5000.0,0.8777223373178332,0.9997686771188334,12,9.0
noisy,progressive_goal_h0.2,4,12,4291.666666666667,3541.6666666666665,5125.0,4000.0,12,12,4291.666666666667,0.8899335144992501,0.9945427732088334,12,9.0
noisy,progressive_goal_h0.2,8,12,5083.333333333333,4416.666666666667,5750.0,5000.0,12,12,5250.0,0.8724769936515835,0.9908690232947501,11,9.0
noisy,oracle_goal,4,12,4125.0,3416.6666666666665,4791.666666666667,4250.0,12,12,4208.333333333333,0.9018264895364166,0.9590742619525833,11,9.0
noisy,oracle_goal,8,12,4625.0,4125.0,5166.666666666667,4500.0,12,12,4958.333333333333,0.8966984059497499,0.99971390384925,12,9.0
